Date,sentiment_score
2022-04-07,-0.03267500000000001
2022-04-08,0.22965555555555556
2022-04-09,0.32121428571428573
2022-04-10,0.1900833333333333
2022-04-11,0.09057499999999999
2022-04-12,0.2825625
2022-04-13,0.2146777777777778
2022-04-14,0.27375
2022-04-15,0.14714
2022-04-16,0.29107
2022-04-17,-0.039224999999999996
2022-04-18,0.22018888888888888
2022-04-19,-0.20852857142857142
2022-04-20,0.035036363636363616
2022-04-21,0.14866428571428572
2022-04-22,0.25478124999999996
2022-04-23,0.04496428571428573
2022-04-24,0.32558571428571426
2022-04-25,-0.04467999999999999
2022-04-26,0.07557142857142855
2022-04-27,0.18336153846153846
2022-04-28,0.060229203539823035
2022-04-29,0.1069469135802469
2022-04-30,0.12471000000000002
2022-05-01,0.3358333333333334
2022-05-02,0.11467619047619047
